1,0,“当我看到建议被采纳，部委领导写给我的回信时，我知道我正在为这个国家的发展尽着一份力量。”27日，河北省邢台钢铁有限公司的普通工人白金跃，拿着历年来国家各部委反馈给他的感谢信，[f]激动[/f]地对中新网记者说。“27年来，国家公安部、国家工商总局、国家科学技术委员会科技部、卫生部、国家发展改革委员会等部委均[2*1v]接受并采纳过的我的建议[/2*1v]。”
2,0,据白金跃介绍，自1988年至今，他向国家各部委提出合理化建议1000多条，并多次被各部委采纳，曾荣获国家“十二五”建言献策个人一等奖、河北省建言献策三等奖。当日，跟中新网记者谈起建言献策的初衷，白金跃[-1*1v]陷入回忆[/-1*1v]，并略显[f]激动[/f]。
3,3,2002年6月3日上午，当值的曾友蔚接报，狮山镇小塘走马营村一树林里有一名年仅2岁多的小男孩躺在草地上，无人认领。曾友蔚立即赶到现场处置，只见林中的草地上，小男孩被包在一条毛巾里，很孱弱，不哭也不闹，小眼珠子静静地望着眼前的警察叔叔。曾友蔚打开包裹着的围巾，小男孩[0*1v]胸口蔫瘦[/0*1v]得让人[f]心疼[/f]，贴身处有一张写着出生年月的纸条和一封利是。曾友蔚意识到，这可能是个因病被弃的孩子。
4,3,为尽快将女子救下，指挥员立即制订了救援方案，第一组在楼下铺设救生气垫，并对周围无关人员进行疏散；另一组队员快速爬上6楼，在楼内对女子进行劝说。劝说过程中，消防官兵了解到，该女子是由于[-3*1v]对方拖欠工程款[/-3*1v]，[-2*2v]家中又急需用钱[/-2*2v]，[-1*3n]生活压力大[/-1*3n]，[f]无奈[/f]才选择跳楼轻生。
5,0,依靠父母支持和在学校打工积攒下来的钱，两人共投资50多万元，办起了养鸡场。“去年11月开始售卖产品， 3个月的销售额已经达到了50多万元。”[-1*1v]有这样一个好的开头[/-1*1v]，两人既是[f]自豪[/f]也是对前景充满了信心。
6,0,2013年6月，在深圳打拼10年的吴树梁终于拿到大红的深圳市户口，儿子吴同也随之迁入深圳，但妻子丁维清却必须等候吴树梁入户满两年才能随迁。半年后，当初[0*1v]获得入户指标[/0*1v]的那份[f]欣喜[/f]，因为老吴患上肺癌晚期的噩耗而荡然无存。取而代之的，是他对自己生存期的忧虑。医生的“判决”是3~6个月，这意味着，老吴可能等不到妻子随迁入户深圳。
7,3,2013年6月，在深圳打拼10年的吴树梁终于拿到大红的深圳市户口，儿子吴同也随之迁入深圳，但妻子丁维清却必须等候吴树梁入户满两年才能随迁。半年后，当初获得入户指标的那份欣喜，因为老吴患上肺癌晚期的噩耗而荡然无存。取而代之的，是他对自己生存期的[f]忧虑[/f]。医生的“判决”是3~6个月，这意味着，老吴[3*1v]可能等不到妻子随迁入户深圳[/3*1v]。
8,5,“[f]生不如死[/f]”是老吴患癌后常有的想法，由于[1*1n]大面积骨转移[/1*1n]，老吴[2*2v]每天都在剧痛里挣扎[/2*2v]。从2012年10月到现在，老吴已经和晚期肺癌搏斗了30个月。这个时间长度，比医生最初给他的死亡“判决”已经超出了近10倍。深圳宁养院的医生王劲也感到惊诧。
9,6,“生不如死”是老吴患癌后常有的想法，由于大面积骨转移，老吴每天都在剧痛里挣扎。从2012年10月到现在，老吴已经[-3*1v]和晚期肺癌搏斗了30个月[/-3*1v]。这个时间长度，[-1*2v]比医生最初给他的死亡“判决”已经超出了近10倍[/-1*2v]。深圳宁养院的医生王劲也感到[f]惊诧[/f]。
10,4,为了坚持到妻子入户，老吴已经用尽了全力。老吴因为其抗癌事迹广为人知，如果老吴[-1*1v]长时间不更新微博[/-1*1v]，就会有网友[f]担心[/f]老吴是不是“去了”。2013年底，老吴两个多月没有更新微博，有网友担心地问他“近况如何”。看到网友的发问，正在经历“靶向药”耐药性剧痛期的他，还是努力地敲下了四个字“活着！活着！”
11,3,目前全家依靠她两千多元工资生活，[-4*1v]看病已负债累累[/-4*1v]。如果我不在了，妻子[-1*2n]没有深圳户籍日子会更难[/-1*2n]。总之是[f]无奈[/f]和心酸，但我也很感谢那些帮助我的网友、义工、宁养院，还有家人的不离不弃，我现在只能咬牙继续坚持，希望能够达成心愿。
12,1,目前全家依靠她两千多元工资生活，看病已负债累累。如果我不在了，妻子没有深圳户籍，日子会更难。总之是无奈和心酸，但我也很[f]感谢[/f]那些[1v]帮助我[/1v]的网友、义工、宁养院，还有[1*2n]家人的不离不弃[/1*2n]，我现在只能咬牙继续坚持，希望能够达成心愿。
13,5,4月14日下午，有微博网友爆料称，通州台湖某制药厂内悬挂着数只死猫，并配发图片。众多网友指责“如此[-1*1v]虐猫[/-1*1v]，太[f]没有人性[/f]”，还有网友怀疑这是厂方处置流浪猫手段。
14,2,老公站在楼栋底下同站在6楼的妻子[-1*1v]“隔空”拌嘴[/-1*1v]，妻子一时[f]激动[/f]竟从阳台滑下，但幸运地“挂”在4楼晒衣架上。老公立即大喊：“快抓紧！我爱你！”妻子被温馨的话语感动，自救成功。
